Chokladkaka Mjölkchoklad 200g Marabou,No Price
Chokladkaka Schweizernöt 200g Marabou,No Price
Chokladkaka Apelsinkrokant 200g Marabou,No Price
Chokladkaka Daim 200g Marabou,No Price
Chokladkaka Helnöt 200g Marabou,No Price
Choklad Caramello 160g Marabou,No Price
Chokladkaka Frukt & Mandel 200g Marabou,No Price
Chokladkaka Salta mandlar 200g Marabou,No Price
Chokladkaka Mintkrokant 200g Marabou,No Price
Mjölkchoklad med havssalt 185g Marabou,No Price
Chokladkaka Oreo 185g Marabou,"24,95 kr"
Mjölkchoklad Fudge & Havssalt 185g Marabou,"24,95 kr"
Marsipanbröd 5-p 125g Anthon Berg,"22,95 kr"
Chokladkaka Lakrits Hallon & Caramel 185g Marabou,"24,95 kr"
Twist 145g Marabou,"20,00 kr34,95 kr"
Chokladkaka Popcorn 185g Marabou,"24,95 kr"
Vit choklad 180g Marabou,"24,95 kr"
Chokladkaka Mörk Choklad 180g Marabou,"24,95 kr"
Chokladkaka Pepparkaka 185g Marabou,"24,95 kr"
Chokladkaka Pistachio 185g Marabou,"24,95 kr"
Chokladkaka Oreo 185g Marabou,No Price
Mjölkchoklad Fudge & Havssalt 185g Marabou,No Price
Marsipanbröd 5-p 125g Anthon Berg,No Price
Chokladkaka Lakrits Hallon & Caramel 185g Marabou,No Price
Twist 145g Marabou,"20 kr/st20 kr34,95 kr"
Chokladkaka Popcorn 185g Marabou,No Price
Vit choklad 180g Marabou,No Price
Chokladkaka Mörk Choklad 180g Marabou,No Price
Chokladkaka Pepparkaka 185g Marabou,No Price
Chokladkaka Pistachio 185g Marabou,No Price
Chokladpraliner Geisha Mjölkchoklad 228g Fazer,"49,95 kr"
Chokladpraliner Mjölkchoklad 228g Fazer,"49,95 kr"
Gröna Kulor 250g Fazer,"49,95 kr"
Dumble Original 250g Fazer,"49,95 kr"
Marzipanhjärtan Orginal 84g Anthon Berg,"26,95 kr"
Chokladpraliner Geisha Mjölkchoklad 228g Fazer,No Price
Chokladpraliner Mjölkchoklad 228g Fazer,No Price
Gröna Kulor 250g Fazer,No Price
Dumble Original 250g Fazer,No Price
Marzipanhjärtan Orginal 84g Anthon Berg,No Price
Chokladpraliner Liqueur Fills 250g Fazer,"49,95 kr"
Marsipanhjärtan Nougat 84g Anthon Berg,"26,95 kr"
Chokladpraliner Fazermint 228g Fazer,"49,95 kr"
Dumle Fudge Box 250g Fazer,"49,95 kr"
Dumle Rocks box 250g Fazer,"49,95 kr"
Chokladpraliner Liqueur Fills 250g Fazer,No Price
Marsipanhjärtan Nougat 84g Anthon Berg,No Price
Chokladpraliner Fazermint 228g Fazer,No Price
Dumle Fudge Box 250g Fazer,No Price
Dumle Rocks box 250g Fazer,No Price
Kexchoklad 60g Cloetta,"8,95 kr"
Choklad Dubbel nougat 43g Marabou,"9,95 kr"
Daim Dubbel 56g Marabou,"9,95 kr"
Japp Dubbel 60g Marabou,"9,95 kr"
Kexchoklad mini 156g Cloetta,"20,95 kr"
Chokladkaka Mjölkchoklad 145g Fazer,"21,95 kr"
Chokladkaka EXCELLENCE Havssalt Mörk Choklad 100g Lindt,"30,95 kr"
Toblerone 50g Marabou,"9,95 kr"
Choklad Polly Original Blå 200g Cloetta,"26,95 kr"
Dumle Original 200g Fazer,"28,95 kr"
Choklad Snickers 50g,"8,95 kr"
Choklad Plopp mini påse 158g Cloetta,"21,95 kr"
Fransk Nougat Dubbel 46g Marabou,"9,95 kr"
Noblesse Original crisp 150g Marabou,"39,95 kr"
Choklad Polly Röd 200g Cloetta,"26,95 kr"
Choklad Twix 50g,"8,95 kr"
Chokladkaka EXCELLENCE 70% Kakao Mörk Choklad 100g Lindt,"30,95 kr"
Non stop 225g Marabou,"36,95 kr"
Chokladkaka Geisha 121g Fazer,"21,95 kr"
Choklad Co-Co Dubbel 60g Marabou,"9,95 kr"
Center 78g Cloetta,"13,95 kr"
Sportlunch Dubbel 50g Cloetta,"8,95 kr"
Chokladkaka Premium 70% kakao 100g Marabou,"24,95 kr"
Sportlunch 80g Cloetta,"14,95 kr"
Kina Röd Snacks 160g Fazer,"27,95 kr"
Choklad Pigall Dubbel 40g Marabou,"9,95 kr"
Mjölkchoklad 43g Marabou,"10,95 kr"
Chokladkaka EXCELLENCE Mild 70% Mörk Choklad 100g Lindt,"30,95 kr"
Choklad Skotte Dubbel 50g Marabou,"9,95 kr"
Mörk choklad Toffee 150g Riesen,"21,95 kr"
Choklad Bridge Original 180g Cloetta,"26,95 kr"
Guldnougat Dubbel 50g Cloetta,"8,95 kr"
Chokladkaka EXCELLENCE Karamell Havssalt Mörk 100g Lindt,"30,95 kr"
Plopp Dubbel 50g Cloetta,"8,95 kr"
Kina Gul Snacks 180g Fazer,"28,95 kr"
Chokladkaka Dumle Original 145g Fazer,"21,95 kr"
Chokladkaka EXCELLENCE 85% Kakao Mörk Choklad 100g Lindt,"30,95 kr"
Mjölkchoklad 74g Marabou,"14,95 kr"
Choklad Caramello 37g Marabou,"8,95 kr"
Chokladkaka EXCELLENCE 90% Kakao Mörk Choklad 100g Lindt,"30,95 kr"
Choklad Mars 51g,"8,95 kr"
Plopp 80g Cloetta,"14,95 kr"
Chokladkaka EXCELLENCE Mint Mörk Choklad 100g Lindt,"30,95 kr"
Chokladpraliner Aladdin 500g Marabou,"82,95 kr"
Chokladkaka EXCELLENCE Apelsin Mörk Choklad 100g Lindt,"30,95 kr"
Majskoner Choklad Smash 100g OLW,"23,95 kr"
Dumle Snacks Original 160g Fazer,"27,95 kr"
Chokladkaka Mjölkchoklad 100g Marabou,"15,95 kr"
Kexchoklad minirutor 150g Cloetta,"27,95 kr"
Chokladpraliner Paradis 500g Marabou,"82,95 kr"
After Eight 400g Nestle,"58,95 kr"
Noblesse Apelsin Crisp 150g Marabou,"39,95 kr"
Polly Juleskum 150g Cloetta,"26,95 kr"
Chokladstycksak Bounty 57g Mars,"8,95 kr"
Chokladkaka Salty toffee crunch 145g Fazer,"21,95 kr"
Chokladkaka Hackad Hasselnöt 145g Fazer,"21,95 kr"
Mjölkchoklad Sockerfri 100g Cloetta,"19,95 kr"
Chokladkaka Premium 86% kakao Dark 100g Marabou,"24,95 kr"
Chokladkaka Premium 70% Cocoa Mint 100g Marabou,"24,95 kr"
Rocher 4-p 50g Ferrero,"12,95 kr"
Mörk choklad 70% ICA Selection,"20,95 kr"
Chokladkaka Premium 70% kakao Sea salt pecan 100g Marabou,"24,95 kr"
Dumle Seasonal Winter mix 180g,"27,95 kr"
Chokladkaka Marianne 145g Fazer,"21,95 kr"
Milk Chocolate 100g Treatville,"9,95 kr"
Kina Blå Salty Snacks 155g Fazer,"27,95 kr"
Mörk chokladkola 250g Riesen,"26,95 kr"
"KitKat 4-finger 41,5g Nestle","7,95 kr"
Kexchoklad 8-p 480g Cloetta,"58,95 kr"
Never stop 225g Marabou,"36,95 kr"
Center Dubbel 50g Cloetta,"8,95 kr"
Chokladkalender 65g Friedel,"18,95 kr"
Gräddnougat 100g Marabou,"15,95 kr"
Choklad Bridge Original 360g Cloetta,"48,95 kr"
Chokladkaka Apelsinkrokant 145g Fazer,"21,95 kr"
Mjölkchoklad bar Schweizernöt 43g Marabou,"10,95 kr"
M partysize Peanut 200g Marabou,"36,95 kr"
Noblesse Havssalt Crisp150g Marabou,"39,95 kr"
Chokladkaka Vit & mjölkchoklad 131g Fazer,"21,95 kr"
Choklad Bilar Polly 150g Cloetta,"26,95 kr"
Choklad Kex med nougatsmak 50g Marabou,"9,95 kr"
Chokladkaka Kina Rispuffar 125g Fazer,"21,95 kr"
"Snickers Creamy Peanut 36,5g","8,95 kr"
Juleskum Chokladdoppat 140g Cloetta,"23,95 kr"
Chokladkaka Premium 70%kakao Orange 100g Marabou,"24,95 kr"
Chokladbananer Skum 100g Aroma,"11,95 kr"
Non Stop Christmas 225g Marabou,"36,95 kr"
Caramel Milk Choco 100g Treatville,"9,95 kr"
Twist 300g Marabou,"57,95 kr"
Chokladkaka EXCELLENCE Lakrits Mörk Choklad 100g Lindt,"30,95 kr"
Daim 200g,"40,95 kr"
Tarragona Dubbel 50g Cloetta,"8,95 kr"
Godis White 46g Twix,"8,95 kr"
Chokladkaka Tuttifrutti 145g Fazer,"21,95 kr"
Original 100g Toblerone,"16,95 kr"
Chokladkaka EXCELLENCE Chili Mörk Choklad 100g Lindt,"30,95 kr"
Chokladpraliner LINDOR Mjölk 137g Lindt,"43,95 kr"
Chokladkaka Premium 70% kakao Saltlakrits 100g Marabou,"24,95 kr"
Dumle Mix 200g Fazer,"27,95 kr"
Chokladkaka Dukat 100g Marabou,"15,95 kr"
Chokladkaka EXCELLENCE Hasselnöt Mörk Choklad 100g Lindt,"30,95 kr"
Choklad Center Sea Salt rulle 78g Cloetta,"13,95 kr"
Mörk choklad 72 % Sockerfri 100g Cloetta,"19,95 kr"
Noblesse Mörk choklad Crisp 150g Marabou,"39,95 kr"
Chokladask Finest selection Röd 400g Merci,"82,95 kr"
Kola 125g Toffifee,"22,95 kr"
Mjölkchoklad Bubblig 60g Marabou,"15,95 kr"
Chokladkaka Tuc 87g Marabou,"15,95 kr"
Hjärtformad Guldask 155g Anthon Berg,"66,95 kr"
Kexchoklad 100g Cloetta,"14,95 kr"
Chokladkulor 175g Maltesers,"32,95 kr"
Premium Karamelliserad Nöt 100g Marabou,"24,95 kr"
Chokladkonfekt Peanut 165g M&M,"29,95 kr"
Kexbar Chocolate wafer glutenfri 35g Nick´s,"10,95 kr"
Marsipanbröd Original 40g Anthon Berg,"11,95 kr"
Mjölkchoklad Mintchoko Rulle 78g Marabou,"14,95 kr"
Hazelnut Milk Chocolat 100g Treatville,"9,95 kr"
Chokladpraliner Rocher 200g Ferrero,"50,95 kr"
Marsipan bar Cognac 40g Anthon Berg,"11,95 kr"
Choklad Daim Bites 145g Marabou,"29,95 kr"
Choco Crunch 90g Olw,"23,95 kr"
Choklad Mörk 74% 100g ICA Selection,"20,95 kr"
Mörk Choklad Hasselnöt 100g Ritter,"18,95 kr"
Pralin 200g Toffifee,"33,95 kr"
Chokladkaka CREATION Crème Brûlée Mjölkchoklad 150g Lindt,"38,95 kr"
Kexchoklad Vegan 40g Cloetta,"9,95 kr"
Mjölkchoklad Black Saltlakrits 100g Marabou,"15,95 kr"
Chokladbit LINDOR Mjölkchoklad 38g Lindt,"11,95 kr"
Chokladbar Lion 42g Nestle,"7,95 kr"
Chokladbar King Size 85g Tupla,"14,95 kr"
Snickers 2-p 75g,"11,95 kr"
Chokladkaka Drömkrisp 100g Marabou,"15,95 kr"
Mjölkchoklad Rigi 20g Candypeople,"7,95 kr"
Chokladkaka LES GRANDES Mörk Choklad Hasselnöt 150g Lindt,"46,95 kr"
Dots 140g Marabou,"29,95 kr"
Chokladask Finest selection Röd 250g Merci,"56,95 kr"
Chokladkaka Rocher Original Ferrero,"26,95 kr"
Dragee 225g Daim,"36,95 kr"
Mjölkchoklad 39g Fazer,"8,95 kr"
Choklad med marsipan 100g Ritter Sport,"18,95 kr"
Choklad KitKat 4-finger Vegan 41.5g NESTLÉ,"12,95 kr"
Choklad Big taste Japp Peanut caramel 276g Marabou,"39,95 kr"
Plopp Salty Licorice 80g Cloetta,"14,95 kr"
Choklad Hasselnöt 100g Ritter,"18,95 kr"
Chokladkaka Mjölkchoklad 24g Marabou,"6,95 kr"
Chokladkaka Digestive 100g Marabou,"15,95 kr"
Dumle Fudge 160g Fazer,"27,95 kr"
Chokladkaka EXCELLENCE Fikon Mörk Choklad 100g Lindt,"30,95 kr"
Chokladkaka EXCELLENCE Tranbär Hasselnöt Mörk 100g Lindt,"30,95 kr"
Chokladkaka Schweizernöt 100g Marabou,"15,95 kr"
Julkalender LTD 200g Marabou,"115,00 kr"
Choklad Excellence Lemon ginger 100g Lindt,"30,95 kr"
Chokladbar 3-pack Snickers,"23,95 kr"
After Eight 200g Nestle,"39,95 kr"
Chokladdragéer Marianne 175g Fazer,"28,95 kr"
Marsipanbröd Nougat 40g Anthon Berg,"11,95 kr"
Chokladkaka Romrussin Hasselnöt 100g Ritter,"18,95 kr"
Chokladpralin Lindor Bag Assorted 137g Lindt,"43,95 kr"
Bouchéer Elefant 25g Cote d´Or,"6,90 kr"
Gräddkaramell Choklad Sockerfri 60g Werthers Orginal,"20,95 kr"
Chokladkaka Mjölkchoklad med salmiakfyllning 100g Fazer,"15,95 kr"
Mjölkchoklad Geisha 37g Fazer,"8,95 kr"
Mjölkchoklad Laktosfri 100g Greenstar,"31,95 kr"
Chokladkaka Excellence Mango Almond 100g Lindt,"30,95 kr"
Chokladbar Peanuts n' Fudge 40g Nick´s,"10,95 kr"
Plopp Fresh Mint 80g Cloetta,"14,95 kr"
Chokladkaka EXCELLENCE Honung Mandel Mörk 100g Lindt,"30,95 kr"
Chokladbar Crunchy Caramel 28g Nick´s,"11,95 kr"
Nougat Praline 100g Ritter sport,"18,95 kr"
Twix 3-p 150g,"23,95 kr"
Chokladpralin Mörk Choklad 60% 137g Lindt,"43,95 kr"
Chokladrulle Schweizernöt 67g Marabou,"14,95 kr"
Snickers Creamy Peanut 54.75g,"11,95 kr"
Winernougat 210g Fazer,"60,95 kr"
Romerska bågar Ljusa 200g Cloetta,"43,95 kr"
Xtra 75g Twix,"11,95 kr"
Chokladpralin White 15-p Toffifee,"22,95 kr"
Praliner Dessertchoklad Guldask 200g Anthon Berg,"78,95 kr"
Adventskalender Godis 334g Hulten,"119,00 kr"
Chokladkalender Oreo LTD 275g Marabou,"115,00 kr"
Oreo Sandwich 92g Marabou,"15,95 kr"
Chokladpralin LINDOR Salted Caramel 137g Lindt,"43,95 kr"
Daim Orange 56g,"8,95 kr"
Chokladbit LINDOR Apelsin Choklad 38g Lindt,"11,95 kr"
Mjökchoklad Creme Laktosfri 100g Greenstar,"31,95 kr"
Chokladkaka CREATION Fondante Mjölkchoklad 150g Lindt,"38,95 kr"
Adventskalender 300g Haribo,"85,95 kr"
Choklad Never Stop Crunchy Corn 170g Marabou,"36,95 kr"
Chokladkaka Mint Mörk Choklad 55% 100g ICA Selection,"20,95 kr"
Chokladkaka LES GRANDES Mandel Havssalt Mörk 150g Lindt,"46,95 kr"
Chokladpengar 100g Asba,"14,95 kr"
Chokladkaka LES GRANDES Mjölkchoklad Hasselnöt 150g Lindt,"46,95 kr"
Chokladkaka Premium Filled french nougat 130g Marabou,"34,95 kr"
Creation Pure Chocolate 150g Lindt,"38,95 kr"
Chokladkaka Rocher White 90g Ferrero,"26,95 kr"
Choklad Selection 230g Anthon Berg,"59,95 kr"
Daim 28g Marabou,"6,95 kr"
Dumle Stång 20g Fazer,"5,00 kr"
Chokladkaka Oat Choco laktosfri 62g Fazer,"18,95 kr"
Amerikanska Pastiller 175g Fazer,"28,95 kr"
Choklad Karamell Ljus 180g Tony's Chocolonely,"41,95 kr"
Chokladkaka Oreo 320g Marabou,"39,95 kr"
Gröna kulor 500g Fazer,"85,95 kr"
Choklad Stycksak LINDOR Salted Caramel 38g Lindt,"11,95 kr"
Chokladpralin LINDOR Double Chocolate 137g Lindt,"43,95 kr"
Chokladkaka Daim 100g Marabou,"15,95 kr"
Pralin Hjärta Hasselnötsfyllning 30-p 165g Marabou,"56,95 kr"
Choklad Mandel Havssalt 55% 100g ICA Selection,"20,95 kr"
Chokladbar Sköldpadda 45g Toms,"7,95 kr"
Chokladkaka Apelsin Mörk 100g ICA,"20,95 kr"
Choklad Jultomte Kinder 55g Ferrero,"22,95 kr"
Chokladpraliner Guldask 400g Anthon Berg,"145,00 kr"
Choklad Lion White 42g Nestle,"7,95 kr"
Praliner Collection 359g Ferrero,"105,00 kr"
Chokladkaka Ljus Vegan Ekologisk 100g Greenstar,"33,95 kr"
Godis Karamell Choklad 42g Werthers original,"12,95 kr"
Chokladdragéer Avec 175g Fazer,"28,95 kr"
Aladdin Mörk choklad 400g Marabou,"82,95 kr"
Plommon i Madeira 220g Anthon Berg,"46,95 kr"
Choklad Mörk Vegan Glutenfri Ekologisk 100g Greenstar,"33,95 kr"
Kex Mash-Ups Crunchy Corn & Choko Joy 130g Ballerina,"28,95 kr"
Plopp Juleskum 80g Cloetta,"14,95 kr"
Chocolate Wafer Kina 175g Fazer,"29,95 kr"
Dumle Original 220g Fazer,"30,95 kr"
Choklad vit vegan Ekologisk 100g Greenstar,"33,95 kr"
Choklad Choco Pop 80g OLW,"23,95 kr"
Choklad Tranbär 70% 100g ICA Selection,"20,95 kr"
Chokladkaka Frukt & Mandel 100g Marabou,"15,95 kr"
Karamell Marianne 220g Fazer,"30,95 kr"
Praliner Raffaello 150g Ferrero,"40,95 kr"
Chokladpraliner LINDOR Mjölk 337g Lindt,"105,00 kr"
Chokladpraliner 250g Treatville,"66,95 kr"
Chokladkaka Salta Mandlar 100g Ritter,"18,95 kr"
Choklad Blond Havssalt 100g ICA Selection,"20,95 kr"
Finlandia Marmeladkonfekt 500g Fazer,"85,95 kr"
Chokladkaka HELLO Vegan Salt Caramel Havremjölk 100g Lindt,"47,95 kr"
Chokladkaka Russin Mandel & Puffar 143g Fazer,"21,95 kr"
Choklad Mini-Muh 15g Cloetta,"4,95 kr"
Mjölkchoklad Pepparkakor Original 180g Annas,"41,95 kr"
Wafers Choko Rån 40g KNOPPERS,"7,95 kr"
Chokladkaka Oat Choco Hasselnöt laktosfri 62g Fazer,"18,95 kr"
Chokladbar White Nougat 48g Tupla,"10,95 kr"
Lindor Blodapelsin 137g Lindt,"43,95 kr"
Chokladkaka LES GRANDES Vit Choklad Mandel 150g Lindt,"46,95 kr"
Chokladkaka Salted Caramel Vegan 100g Ritter,"26,95 kr"
Chokladkaka CREATION Mintchoklad Mörk Choklad 150g Lindt,"38,95 kr"
Adventskalender Godis 336g Look o Look,"64,90 kr"
Chokladkaka Rocher Dark 90g Ferrero,"26,95 kr"
Chokladpraliner Hasselnöt Tack 110g Marabou,"33,95 kr"
Jordgubbar i Mousserande vin 220g Anthon Berg,"46,95 kr"
Kex Mash-ups Poppig Rocky Road 130g Ballerina,"28,95 kr"
Choklad Sköldpaddor Mini 120g Toms,"31,95 kr"
Chokladkaka Mörk Almond sea salt 180g Tony's Chocolonely,"41,95 kr"
Chokladkaka Smooth Vegan 100g Ritter,"26,95 kr"
Japp 30g Marabou,"6,95 kr"
Kinder Choklad Jul 12-p 150g Ferrero,"20,90 kr"
Chokladkaka Création Hazelnut Wafer 150g Lindt,"38,95 kr"
Julvänner Choklad 120g Marabou,"41,50 kr"
Mjölkchoklad Hasselnöt Laktosfri 100g Greenstar,"31,95 kr"
Vegan Roasted Peanut Ritter 100g,"26,95 kr"
Mjölkchoklad 180g Tony's Chocolonely,"41,95 kr"
Choklad White extra 75g Twix,"11,95 kr"
Choklad Cornflakes 100g Ritter Sport,"18,95 kr"
Chokladkaka Vit chokladcrisp Laktosfri 100g Greenstar,"31,95 kr"
Chokladkaka Premium Filled marzipan 150g Marabou,"34,95 kr"
Mjölkchocklad Tomte 100g Marabou,"37,50 kr"
Chokladkalender TEDDY House 170g Lindt,"175,00 kr"
Chokladpraliner LINDOR Assorted 337g Lindt,"105,00 kr"
Chokladkaka Creation 70% Mousse Dark 150g Lindt,"38,95 kr"
Chokladpralin LINDOR Hasselnöt 137g Lindt,"43,95 kr"
